RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
1,Finland,7821,"7,886","7,756","2,518","1,892","1,258",775,736,109,534
2,Denmark,7636,"7,710","7,563","2,226","1,953","1,243",777,719,188,532
3,Iceland,7557,"7,651","7,464","2,320","1,936","1,320",803,718,270,191
4,Switzerland,7512,"7,586","7,437","2,153","2,026","1,226",822,677,147,461
5,Netherlands,7415,"7,471","7,359","2,137","1,945","1,206",787,651,271,419
6,Luxembourg,7404,"7,501","7,307","2,042","2,209","1,155",790,700,120,388
7,Sweden,7384,"7,454","7,315","2,003","1,920","1,204",803,724,218,512
8,Norway,7365,"7,440","7,290","1,925","1,997","1,239",786,728,217,474
9,Israel,7364,"7,426","7,301","2,634","1,826","1,221",818,568,155,143
10,New Zealand,7200,"7,279","7,120","1,954","1,852","1,235",752,680,245,483
11,Austria,7163,"7,237","7,089","2,148","1,931","1,165",774,623,193,329
12,Australia,7162,"7,244","7,081","2,011","1,900","1,203",772,676,258,341
13,Ireland,7041,"7,121","6,961","1,743","2,129","1,166",779,627,190,408
14,Germany,7034,"7,122","6,947","2,142","1,924","1,088",776,585,163,358
15,Canada,7025,"7,107","6,943","1,924","1,886","1,188",783,659,217,368
16,United States,6977,"7,065","6,888","2,214","1,982","1,182",628,574,220,177
17,United Kingdom,6943,"7,018","6,867","1,967","1,867","1,143",750,597,289,329
18,Czechia,6920,"7,029","6,811","2,263","1,815","1,260",715,660,158,48
19,Belgium,6805,"6,890","6,720","2,283","1,907","1,106",764,492,49,204
20,France,6687,"6,758","6,615","1,895","1,863","1,219",808,567,70,266
21,Bahrain,6647,"6,779","6,514","2,092","1,854","1,029",625,693,199,155
22,Slovenia,6630,"6,718","6,542","1,885","1,810","1,249",769,685,118,115
23,Costa Rica,6582,"6,683","6,481","2,346","1,584","1,054",744,661,89,102
24,United Arab Emirates,6576,"6,660","6,492","1,809","1,998",980,633,702,204,250
25,Saudi Arabia,6523,"6,637","6,409","2,075","1,870","1,092",577,651,78,180
26,Taiwan Province of China,6512,"6,596","6,429","2,002","1,897","1,095",733,542,75,168
27,Singapore,6480,"6,569","6,392",932,"2,149","1,127",851,672,163,587
28,Romania,6477,"6,575","6,379","2,446","1,719","1,006",655,605,39,6
29,Spain,6476,"6,560","6,392","1,893","1,808","1,211",808,505,101,149
30,Uruguay,6474,"6,562","6,386","1,974","1,615","1,180",672,665,103,265
31,Italy,6467,"6,570","6,363","2,222","1,834","1,052",801,412,85,59
32,Kosovo,6455,"6,571","6,339","2,631","1,362",949,569,599,309,35
33,Malta,6447,"6,535","6,359","1,631","1,838","1,169",789,679,174,166
34,Lithuania,6446,"6,535","6,356","2,153","1,804","1,204",659,496,53,77
35,Slovakia,6391,"6,475","6,306","2,094","1,736","1,232",707,479,118,25
36,Estonia,6341,"6,415","6,266","1,442","1,793","1,232",728,689,123,333
37,Panama,6309,"6,464","6,154","2,086","1,715","1,107",709,592,49,51
38,Brazil,6293,"6,384","6,202","2,361","1,462","1,044",615,546,131,134
39,Guatemala,6262,"6,460","6,064","2,746","1,274",831,522,662,112,115
40,Kazakhstan,6234,"6,330","6,138","1,860","1,668","1,220",611,584,134,157
41,Cyprus,6221,"6,320","6,122","2,044","1,815",909,819,448,123,62
42,Latvia,6180,"6,255","6,106","1,923","1,732","1,221",637,502,75,90
43,Serbia,6178,"6,294","6,062","2,031","1,550","1,086",658,546,219,88
44,Chile,6172,"6,262","6,082","2,040","1,651","1,080",748,460,124,69
45,Nicaragua,6165,"6,312","6,017","2,418","1,105","1,029",617,617,168,212
46,Mexico,6128,"6,238","6,017","2,239","1,552",886,623,621,92,115
47,Croatia,6125,"6,229","6,022","1,884","1,705","1,183",709,535,109,0
48,Poland,6123,"6,205","6,040","1,693","1,758","1,174",712,523,124,140
49,El Salvador,6120,"6,250","5,990","2,514","1,265",768,607,666,89,212
50,Kuwait,6106,"6,235","5,977","1,621","1,904",983,747,617,87,147
51,Hungary,6086,"6,187","5,985","1,812","1,748","1,233",668,485,78,64
52,Mauritius,6071,"6,184","5,958","1,969","1,591","1,116",568,589,131,107
53,Uzbekistan,6063,"6,178","5,948","1,913","1,219","1,092",600,716,283,240
54,Japan,6039,"6,119","5,959","1,487","1,835","1,089",866,537,7,218
55,Honduras,6022,"6,189","5,855","2,611","1,111",885,555,582,202,76
56,Portugal,6016,"6,122","5,911","1,691","1,760","1,078",777,655,16,39
57,Argentina,5967,"6,090","5,844","1,891","1,592","1,102",662,555,81,85
58,Greece,5948,"6,043","5,853","2,119","1,703",980,774,249,15,108
59,South Korea,5935,"6,021","5,849","1,656","1,851",886,841,414,111,176
60,Philippines,5904,"6,007","5,800","2,283","1,268",912,514,678,107,142
61,Thailand,5891,"5,994","5,788","1,600","1,535","1,096",697,617,321,26
62,Moldova,5857,"5,948","5,766","2,142","1,417","1,008",597,561,102,28
63,Jamaica,5850,"6,023","5,676","2,164","1,296","1,045",646,567,80,53
64,Kyrgyzstan,5828,"5,916","5,741","2,087","1,069","1,109",638,693,208,25
